1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
2170172,2337220,2677841,3098385,3602688,4139706,4780693,5462919,6350660,7688980,8666362,10206249,12134254,14107673,15827439,17457214,19158415,20865748,22348893,23571607,24503817,25312368,26004954,26553565,26961832,27168959,27191841,26973259,26726762,26440519,26093611
1708248,1911401,2086984,2410604,2824414,3274310,3788307,4318902,5054833,6104991,6968300,8094860,9710390,11658863,13659867,15364279,16995182,18711725,20437111,21944198,23194728,24158392,24995323,25714896,26289313,26717257,26944432,26986546,26787734,26556038,26283216
1444049,1638369,1847459,2025726,2357729,2737467,3186475,3620895,4211698,5097969,5817475,6781449,7945507,9568283,11527510,13504965,15198547,16831787,18551005,20280133,21792902,23051015,24022993,24868146,25595824,26176499,26610781,26844676,26893674,26701137,26475296
1236263,1399747,1599209,1809588,1998561,2302801,2683525,3065608,3551819,4270030,4884898,5684947,6674448,7843856,9472510,11407034,13366926,15056676,16687773,18404950,20132894,21646641,22907195,23883231,24733226,25464993,26050314,26489766,26729585,26784118,26598014
1055408,1189762,1356836,1555848,1773021,1939555,2243296,2565878,2988947,3579561,4066841,4746576,5566094,6556954,7729713,9332055,11242308,13187749,14868363,16492519,18202916,19925087,21435930,22696414,23675470,24529184,25265891,25857003,26303271,26550434,26613346
891108,1008144,1145100,1311041,1514537,1710020,1878117,2132585,2487876,2996132,3390848,3932433,4627811,5447603,6439523,7590982,9169951,11060685,12988620,14657836,16273128,17974873,19689401,21196152,22456233,23437810,24295979,25037763,25635829,26089280,26345070
754496,847122,965935,1101723,1271174,1455313,1649834,1779220,2061279,2486612,2829717,3270054,3825484,4520515,5340933,6314130,7448599,9010146,10880875,12790949,14448470,16054493,17747011,19453559,20956218,22215169,23199585,24061615,24808768,25412851,25873469
633443,712634,806772,923987,1062444,1215387,1397400,1556495,1712348,2051964,2338571,2718841,3171205,3726678,4421401,5225481,6183322,7305437,8848771,10698644,12590127,14235315,15831007,17513603,19211800,20708775,21966445,22952550,23818396,24569859,25179582
526139,593308,673276,765812,884447,1008747,1159142,1309695,1488568,1694813,1917827,2234092,2623153,3074788,3629088,4307944,5097150,6041816,7148975,8670859,10496135,12365279,13994556,15577155,17247204,18933516,20423442,21678032,22665650,23534440,24290598
434939,488269,555567,633546,726920,833005,954514,1078090,1243257,1461555,1571974,1819168,2141185,2527471,2976441,3515608,4178721,4953584,5881390,6969450,8464344,10258458,12098478,13706407,15270886,16922607,18592764,20071589,21320637,22308249,23179949
357435,398087,451061,515904,593623,676148,778584,877164,1011339,1206695,1340312,1473891,1724394,2041350,2421737,2854788,3377145,4022632,4777416,5681689,6742921,8200304,9950759,11749222,13325377,14861745,16486133,18130546,19590734,20829904,21815334
292468,318922,358925,409027,472440,540201,618608,700905,806425,962600,1084593,1233300,1372683,1616875,1925266,2287519,2702081,3204695,3825849,4552931,5424642,6448455,7854214,9544448,11284966,12816350,14313465,15898142,17505798,18940419,20164787
218509,249878,275823,312663,360310,414364,476762,537942,623035,742842,836843,967286,1116103,1252780,1486411,1774332,2114364,2505988,2980945,3568178,4256557,5082564,6054235,7388267,8994829,10655331,12124332,13564786,15093057,16650410,18048740
164589,173813,201687,224650,258128,296928,344047,390756,451209,542211,609735,706660,831824,970460,1099430,1309502,1569695,1879005,2235960,2669296,3205641,3835498,4592898,5485966,6712255,8194920,9735473,11107334,12459800,13903651,15382479
123454,116242,125158,146945,166533,191934,222882,255733,297825,357638,404871,470584,558708,667774,789010,899217,1077697,1300120,1565122,1871911,2245116,2707673,3253215,3911218,4689898,5763280,7067446,8431035,9658663,10884467,12201609
87619,72592,70188,76837,92211,105540,123221,142271,167836,203839,230244,271144,325389,394494,479676,571839,657380,794885,966487,1171697,1410450,1701701,2064703,2495150,3016817,3642196,4506839,5562864,6678981,7708018,8750392
61306,39302,33754,33396,37638,45973,53510,62476,74371,91810,104692,123902,152045,187534,232525,286239,345293,401505,490530,601989,736089,893099,1086609,1329144,1619064,1977917,2413701,3017045,3761301,4569314,5335712
19635,18570,12555,11126,11433,13256,16536,19364,23407,29251,33833,40749,50756,64458,81751,102986,128685,157468,185373,229099,284165,350903,430512,529502,654624,809668,1005034,1245468,1580474,2006702,2482918
3901,3673,3668,2600,2414,2580,3069,3867,4695,5980,6982,8580,10953,14179,18575,23978,30711,38984,48366,57625,72057,90362,113097,140608,175233,221211,279778,354888,449477,586070,764696
450,429,426,441,332,323,355,426,558,714,850,1052,1368,1811,2419,3221,4223,5488,7054,8847,10645,13451,17119,21747,27446,35135,45676,59468,77679,102224,138468
31,32,32,33,36,29,28,31,38,52,62,77,99,133,179,241,324,428,562,727,919,1115,1420,1828,2354,3057,4038,5422,7306,9996,13796
