1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
89000,92000,95000,99000,90000,110000,157000,171000,179000,195000,214000,238000,265000,288000,294000,304000,318000,331000,341000,346000,348000,348000,348000,347000,346000,343000,337000,332000,326000,321000,314000
66000,68000,68000,79000,85000,86000,124000,138000,153000,168000,176000,198000,225000,255000,280000,287000,297000,311000,325000,335000,341000,343000,343000,343000,342000,343000,339000,334000,328000,323000,318000
53000,55000,55000,63000,76000,82000,95000,112000,126000,151000,159000,169000,193000,222000,252000,277000,284000,294000,308000,322000,333000,338000,340000,341000,341000,340000,341000,337000,332000,327000,321000
50000,48000,48000,48000,60000,72000,77000,83000,100000,125000,144000,153000,165000,190000,219000,249000,274000,282000,292000,306000,320000,330000,336000,338000,339000,339000,338000,339000,335000,330000,325000
47000,49000,47000,37000,41000,58000,69000,68000,74000,98000,118000,137000,149000,162000,187000,216000,246000,271000,278000,288000,303000,317000,327000,333000,335000,336000,336000,336000,336000,333000,328000
46000,47000,50000,36000,30000,41000,62000,62000,61000,72000,92000,112000,132000,145000,158000,183000,212000,242000,267000,274000,284000,299000,313000,323000,329000,332000,333000,333000,333000,333000,330000
42000,44000,45000,40000,30000,31000,50000,54000,55000,59000,67000,87000,107000,128000,141000,155000,179000,208000,238000,262000,270000,280000,295000,309000,319000,325000,328000,329000,330000,329000,330000
37000,38000,39000,37000,34000,29000,40000,43000,47000,53000,55000,63000,83000,103000,124000,137000,151000,175000,203000,233000,257000,265000,276000,290000,304000,315000,321000,324000,325000,326000,326000
30000,32000,33000,33000,33000,31000,33000,33000,35000,45000,49000,51000,60000,79000,99000,120000,133000,146000,170000,198000,227000,251000,260000,270000,284000,299000,309000,316000,319000,320000,321000
21000,25000,27000,28000,29000,28000,27000,27000,27000,34000,41000,45000,48000,57000,76000,95000,115000,128000,141000,164000,192000,220000,244000,252000,263000,277000,292000,302000,309000,312000,314000
18000,18000,21000,23000,25000,25000,22000,24000,24000,26000,30000,37000,42000,45000,53000,71000,90000,109000,122000,134000,157000,184000,211000,235000,243000,254000,268000,282000,293000,300000,304000
14000,16000,15000,18000,20000,21000,18000,21000,22000,22000,23000,27000,34000,38000,41000,49000,66000,84000,102000,114000,126000,148000,173000,200000,223000,231000,242000,256000,270000,281000,288000
11000,12000,13000,12000,15000,17000,16000,18000,20000,20000,19000,20000,24000,30000,34000,37000,44000,60000,76000,93000,104000,116000,136000,160000,185000,207000,215000,225000,239000,253000,264000
9000,9000,9000,10000,10000,13000,13000,15000,17000,17000,16000,15000,16000,20000,26000,29000,32000,38000,52000,66000,81000,91000,102000,120000,142000,164000,184000,192000,203000,216000,230000
6000,6000,7000,7000,7000,8000,11000,12000,14000,13000,12000,12000,12000,13000,16000,20000,23000,25000,31000,42000,53000,66000,74000,84000,99000,118000,137000,155000,162000,172000,185000
3000,4000,4000,4000,4000,5000,8000,9000,10000,9000,8000,8000,8000,8000,9000,10000,14000,16000,18000,22000,30000,38000,48000,54000,61000,73000,88000,103000,117000,124000,133000
1000,2000,2000,2000,2000,2000,4000,6000,6000,6000,5000,4000,4000,4000,4000,5000,6000,8000,9000,10000,13000,18000,23000,29000,33000,38000,46000,56000,66000,77000,82000
0,1000,1000,1000,1000,1000,2000,3000,3000,3000,2000,2000,2000,2000,2000,2000,2000,3000,3000,4000,5000,6000,8000,11000,13000,16000,18000,23000,28000,34000,40000
0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,0,0,0,0,0,1000,1000,1000,1000,1000,2000,3000,3000,4000,5000,6000,8000,10000,12000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,2000,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
