2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
8961531,10909754,13275422,16137789,19616675,23855286,28990822,35259671,42862424,52103055,63356032
6870859,8353745,10165865,12375917,15044042,18291648,22244163,27026231,32875067,39946611,48583699
5412340,6581309,7998449,9737647,11850301,14407741,17526817,21312754,25888501,31488620,38262780
4274211,5183239,6300004,7661870,9322257,11347448,13800976,16789250,20415769,24799737,30162922
3381051,4091551,4963090,6033288,7339907,8932439,10868632,13222845,16080616,19554509,23755182
2660878,3238333,3919011,4751888,5778542,7029110,8557293,10408422,12666551,15401423,18732222
2097076,2546404,3102749,3753942,4552831,5533894,6732537,8194269,9968577,12132125,14753299
1658052,2009575,2440176,2971716,3596905,4360754,5300259,6449946,7849431,9552050,11621639
1305506,1587817,1924780,2337189,2847174,3444525,4177890,5077105,6177422,7518523,9147609
1028613,1249805,1521016,1843611,2238877,2728371,3299889,4002958,4863330,5916786,7203407
812817,985332,1196866,1457168,1766388,2146007,2612588,3160218,3834601,4657970,5665298
638851,778745,943770,1146130,1395050,1693062,2054679,2502937,3025379,3671765,4460817
507336,612456,745820,904608,1097417,1336233,1622440,1967164,2397415,2897931,3517681
397350,485729,586609,714251,866006,1051536,1279609,1553342,1883856,2296501,2775550
313807,380674,465142,561571,684198,828875,1007911,1225363,1488439,1804031,2199930
247340,300784,365059,445385,538053,655378,793721,965860,1173885,1426361,1727918
195932,236542,288239,349626,426396,515884,627486,759248,925490,1124472,1365569
154986,187629,226668,276005,334934,408209,494560,601381,727560,887109,1077507
0,148326,179808,216964,264304,320475,390719,473412,576532,697173,849583
0,0,463,731,731,1041,1213,1218,1596,2187,2523
0,0,0,0,0,0,0,0,0,0,0
