1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
3327721,3507758,3875947,4507785,5159479,6046205,6674382,7673274,9056988,10535009,12347590,13553113,14244957,15483378,16791484,17845871,18495914,18882668,19190736,19541504,19724360,19780869,19627084,19408295,19119464,18722268,18360885,17956056,17466024,17023186,16588387
2531613,2837223,3043466,3432235,4033582,4688716,5150902,6078938,7214499,8665147,9999620,12028486,13208836,13974244,15246064,16582210,17666454,18342662,18750991,19075755,19439816,19634190,19700863,19556364,19345858,19064189,18673393,18317551,17917539,17431780,16992698
2133803,2403390,2707458,2922131,3304314,3877955,4030681,4999497,5900883,7373577,8422670,9912348,11924433,13069775,13853199,15134864,16482419,17576908,18262670,18679372,19011034,19380597,19580392,19652023,19512386,19306421,19028851,18641947,18289448,17892371,17409457
1837158,2053303,2320976,2625730,2838481,3211368,3309327,3975087,4887802,5842508,7197437,8012323,9836723,11842775,12975795,13749684,15039475,16392892,17492781,18184111,18606190,18942473,19316070,19519975,19595940,19460766,19258957,18985507,18602439,18253316,17859400
1574489,1753309,1967572,2234843,2533292,2742386,2843396,3251759,3939027,4816215,5675018,6711833,7655501,9787018,11746856,12848288,13632888,14927183,16282969,17385399,18080701,18506897,18847482,19225150,19433792,19514769,19385143,19188726,18920678,18542693,18198228
1343503,1489168,1666293,1880693,2141503,2431631,2482752,2762294,3205598,3903439,4663448,5380477,6450563,7613090,9692189,11610090,12718273,13510130,14805529,16160825,17263932,17961616,18391848,18736843,19118961,19332992,19419848,19296698,19106831,18844888,18473031
1139057,1263475,1407995,1585589,1794727,2047587,2234482,2394667,2730481,3147990,3735932,4496167,5142960,6389073,7518893,9557499,11469643,12581224,13377620,14671375,16024294,17126428,17826530,18261360,18611745,18999130,19219645,19313505,19198312,19015827,18761061
967188,1062842,1186231,1331656,1504680,1707053,1887378,2139185,2331478,2740634,2972100,3594851,4337025,5057715,6273985,7379743,9401967,11302785,12414389,13213341,14503244,15851512,16952438,17656089,18097487,18455347,18850228,19079452,19182696,19077365,18904539
815294,893435,988692,1112696,1254003,1420730,1524210,1791704,2083824,2294325,2566251,2801463,3456335,4230151,4933945,6123126,7220667,9218751,11100936,12208764,13008838,14292151,15634685,16734711,17443596,17893788,18261615,18666177,18906451,19021142,18928123
680965,744772,822503,918669,1038512,1173920,1315725,1438426,1702653,2005831,2121747,2425808,2700538,3352090,4104707,4792313,5963150,7047247,9013937,10871224,11972533,12772207,14048064,15384210,16483499,17198653,17659284,18038741,18454349,18706835,18834670
493731,612199,675286,753497,845892,959525,1020366,1219677,1351511,1625345,1856218,1989867,2318485,2598940,3228746,3957973,4633755,5779907,6844610,8771016,10596649,11688539,12487728,13754371,15082658,16181059,16903818,17376830,17770201,18198320,18465595
410004,431486,540189,603347,677503,763772,888064,929427,1141133,1267376,1485101,1717770,1881792,2204382,2475320,3079666,3784991,4443942,5557802,6596676,8472385,10257837,11338193,12136582,13391701,14710406,15807850,16539961,17028566,17438549,17882688
329450,340797,363814,462753,521285,588745,654208,771248,829079,1067504,1127663,1344813,1588405,1750567,2056264,2314345,2888298,3560953,4196405,5266356,6270773,8078786,9811311,10875917,11672847,12912918,14219183,15315328,16060766,16569530,17002313
250778,252400,266309,290986,374210,424756,507357,534998,656869,702802,903221,975033,1186943,1418163,1568290,1849747,2091186,2621855,3247959,3848656,4855791,5809883,7520753,9175521,10215156,11008497,12225531,13512080,14606337,15368471,15906157
164968,167683,173765,189718,211048,274291,317183,369992,437046,525060,545499,721027,801275,989058,1188435,1321323,1569522,1787504,2258225,2818645,3369044,4285475,5166121,6735630,8274589,9273609,10056676,11235147,12489969,13574702,14357347
87561,89421,95069,103582,116123,131405,202397,196781,267125,327352,354744,384811,524946,595825,740933,898533,1008546,1212526,1398044,1787513,2258162,2734805,3522302,4294002,5659149,7026134,7954849,8709582,9821926,11015177,12073585
31192,35078,38123,43575,49231,56498,74962,94931,111106,157496,177176,204396,265546,324133,371805,468506,577148,658592,807550,948892,1235962,1589453,1962880,2574217,3190009,4272651,5389295,6195133,6884606,7873328,8950781
8148,8145,10037,11993,14444,16824,19730,25470,34227,41137,61548,73294,90470,122862,152113,178114,229487,290007,339625,428575,517725,692028,912594,1157914,1557132,1975371,2707270,3492969,4107136,4662802,5445070
1280,1280,1418,1981,2510,3137,3750,4266,5891,8246,10471,16606,21199,27960,38737,49251,59456,79185,103843,125882,165186,206764,285767,388985,511061,710460,929190,1312619,1747118,2117144,2475623
119,119,133,165,246,330,424,490,603,861,1277,1705,2862,3951,5378,7671,10134,12727,17686,24257,30644,42088,54913,78834,111212,152344,220190,298498,437729,604791,760880
8,8,8,10,13,21,27,35,41,52,78,119,168,303,444,630,929,1279,1673,2390,3408,4498,6378,8679,12785,18688,26681,39828,56440,85254,123269
